Insegna,Tipo via,Via,Civico,Codice via,Municipio,Accesso,Isolato,Presso,Forma commercio prevalente,Forma commercio secondaria,Forma vendita,Superficie somministrazione,Bar caffè,Bar gastronomici e simili,Biliardo,Bocce,Carte,Cibi cotti preconfezionati,Discoteche,Genere merceol.autorizz.sanit.,Giochi legge 388/2000,Mensa,Pizzeria,Prodotti di gastronomia,Ristorante,Spaccio bevande analcoliche,Tavola calda,Tavola fredda,Fast food,Osteria,Self service,Trattoria,context_type,IsAnomaly
c/o shwarz farma spa.,VIA,GADAMES,057,7423,8,accesso interno,0,schwarz pharma spa - ang.,somministrazione,Assente,self service,80.0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,other,False
c/o txt e -solutions spa.,VIA,FRIGIA,27,2439,2,accesso interno,35,txt e-solutions spa,somministrazione,Assente,self service,170.0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,other,False
mensa int.provincia,VIA,VIVAIO,1,3041,1,accesso interno,98,provincia di milano,somministrazione,Assente,self service,190.0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,other,False
bar cral m.c.t.c.,VIA,CILEA FRANCESCO,119,7526,8,accesso interno,9,Non specificato,somministrazione,Assente,al banco,58.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,horeca,False
fnac cafe,VIA,DELLA PALLA,2,586,1,accesso interno,0,Non specificato,somministrazione,Assente,misto,60.0,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,other,False
Non specificata,VIA,CELORIA GIOVANNI,10,2209,3,accesso interno,121,università degli studi,somministrazione,Assente,al banco,105.0,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,school,True
Non specificata,VIA,GAREGNANO,38,7413,8,accesso interno,0,Non specificato,somministrazione,Assente,al banco,140.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,other,False
Non specificata,VIA,SAN PAOLO,10,212,1,accesso interno,361,società del giardino,somministrazione,Assente,al banco,175.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,other,False
Non specificata,VIA,VALVASSORI PERONI CARLO,8,2580,3,accesso interno,0,Non specificato,somministrazione,Assente,al banco,141.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,other,False
int.centro sportivo,VIA,CASCINA BELLARIA,19,6744,7,accesso esterno,112,Non specificato,somministrazione,Assente,misto,230.0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,other,False
spizzico,PIAZZALE,CADORNA LUIGI,000,601,1,accesso interno,164,Non specificato,somministrazione,Assente,al banco,116.0,True,True,False,False,False,False,False,True,False,False,True,False,True,False,True,True,True,False,True,False,other,False
Non specificata,VIA,DEI PICCOLOMINI,2,6513,7,area aperta recintata,178,Non specificato,somministrazione,Assente,al tavolo,152.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,other,False
interno palestra get.fit.,VIA,PIACENZA,4,4064,5,accesso interno,195,Non specificato,somministrazione,Assente,al banco,59.0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,other,False
bar tabacchi,PIAZZA,MONTE TITANO,1,2654,3,accesso interno,92,Non specificato,somministrazione,Assente,misto,84.0,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,True,horeca,False
il teatrino,VIA,REDI FRANCESCO,2,2149,3,accesso esterno,79,Non specificato,somministrazione,Assente,al tavolo,50.0,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,other,False
ub,VIA,CAVRIANA,7,3317,4,area aperta recintata,28,Non specificato,somministrazione,Assente,misto,360.0,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,other,False
interno palestra,VIA,RAVIZZA CARLO,4,6285,7,accesso esterno,194,Non specificato,somministrazione,Assente,misto,136.0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,other,False
bar/tav.calda int.palestr,VIA,PIRANESI GIOVANNI BATTISTA,9,3263,4,accesso interno,265,Non specificato,somministrazione,Assente,misto,65.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,horeca,False
Non specificata,VIA,PIERLUIGI GIOVANNI DA PALESTRINA,7,2235,3,accesso interno,16,parrocchia ss redentore,somministrazione,Assente,misto,170.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,other,False
Non specificata,VIA,LA FARINA GIUSEPPE,15,1625,9,accesso interno,50,circolo acli bicocca,somministrazione,Assente,al banco,76.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,other,False
Non specificata,VIA,MEDA GIUSEPPE,50,5242,5,accesso interno,8,circolo parrocch. canossa,somministrazione,Assente,al banco,51.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,other,False
casa cura priv.policlinic,VIA,DEZZA GIUSEPPE,48,6108,7,accesso interno,299,casa di cura privata del p,somministrazione,Assente,al banco,112.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,hospital,False
circolo int. corriere del,VIA,SOLFERINO,28,1028,1,accesso interno,176,corriere della sera,somministrazione,Assente,al banco,350.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,other,False
int.corriere della sera,VIA,CEFALU',40,7370,8,accesso interno,199,corriere della sera,somministrazione,Assente,al banco,46.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,other,False
